symbol,demangled,category,reason,diff_excerpt,date
_Z14signal_handleri,signal_handler(int),caliber_issue,switch 跳转表为匿名 .rodata 数据表；pseudo 归一化按 64B 快照+递归解析计算 data#hash，但表项是各自二进制的绝对代码地址（跳转目标），两侧哈希不同。两张表语义完全一致（同一 switch 相同 case 集），属统计口径漏归一化（应把表内函数内偏移/绝对地址归一化后再哈希）。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,31 +1,31 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 sub    $0x4,%eax
 cmp    $0x1b,%eax
 ja     <T> <_Z14signal_handleri+0x7b>
-mov    &data#93ae9e2e(.rodata)(,%eax,4),%eax",2026-08-11
_Z22CFileLogWriterInstancev,CFileLogWriterInstance(),codegen_diff,__cxa_atexit 第三实参（__dso_handle 零值 dword）：ORIG 位于 .rodata（0x80b0e68=0），重建位于 .data（0x80701e4=0）。内容同为 0，仅区段归属不同，由链接器 crtbegin/crt 布局决定，源码无法控制。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ22CFileLogWriterInstancevE8instance,%eax
 movzbl (%eax),%eax",2026-08-11
_ZN10ArchiveLogC1EPKcz,"ArchiveLog::ArchiveLog(char const*, ...)",codegen_diff,__cxa_atexit 第三实参（__dso_handle 零值 dword）：ORIG 在 .rodata、重建在 .data，内容均为 0。链接时 crt 布局差异，与 CFileLogWriterInstance 同根因。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,50 +1,50 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x1028,%esp
 mov    $&_ZGVZN10ArchiveLogC1EPKczE11archive_log,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_ZN10ArchiveLogC1EPKcz+0x5f>
 movl   $&_ZGVZN10ArchiveLogC1EPKczE11archive_log,(%esp)",2026-08-11
_ZN10ArchiveLogC2EPKcz,"ArchiveLog::ArchiveLog(char const*, ...)",codegen_diff,同 C1：__cxa_atexit dso-handle 零值 dword 区段差异（.rodata vs .data）。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,50 +1,50 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x1028,%esp
 mov    $&_ZGVZN10ArchiveLogC1EPKczE11archive_log,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_ZN10ArchiveLogC1EPKcz+0x5f>
 movl   $&_ZGVZN10ArchiveLogC1EPKczE11archive_log,(%esp)",2026-08-11
_Z6Rand_rPj,Rand_r(unsigned int*),codegen_diff,"ORIG 的 rand_r.cpp TU 由旧编译器（4.1.2 风格）编译：(1) staticSeed=timeGetTime()+staticSeed 生成 mov eax→edx; mov seed→eax; lea (edx,eax)，4.1.2/4.4.4/4.4.6/4.4.7 四种工具链实测均为 mov seed→edx; add edx,eax，无法复现 lea 形态；(2) result=result^((x>>16)&0x3ff) 在 4 种工具链下均折叠为内存 xor，ORIG 是经 edx 的寄存器 xor。语义等价，属编译器版本代码生成差异。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,54 +1,47 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 cmpl   $0x0,0x8(%ebp)
-jne    <T> <_Z6Rand_rPj+0x31>
+jne    <T> <_Z6Rand_rPj+0x2c>
 call   <T> <_Z11timeGetTimev>
-mov    %eax,%edx",2026-08-11
_Z8SDC_RandPj,SDC_Rand(unsigned int*),codegen_diff,"result^=((a>>16)&0x3ff) 的 xor：4.1.2/4.4.4/4.4.6/4.4.7 全部折叠为 and+内存 xor（xor [ebp-x],eax），ORIG 为 mov eax→edx; and edx; mov result→eax; xor edx,eax; mov eax,result 的寄存器形态。已按 ORIG 语句结构改写（= result ^ expr），仍无法复现，属编译器代码生成差异。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,48 +1,42 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x10,%esp
 cmpl   $0x0,0x8(%ebp)
-jne    <T> <_Z8SDC_RandPj+0x16>
+jne    <T> <_Z8SDC_RandPj+0x13>
 mov    $0x0,%eax
-jmp    <T> <_Z8SDC_RandPj+0xa4>",2026-08-11
_ZN10CMyFileLogclEPKcS1_z,"CMyFileLog::operator()(char const*, char const*, ...)",codegen_diff,"memset 第三实参 0x7000 的装载：ORIG 为 mov /usr/bin/zshx7000,%edx; mov %edx,0x8(%esp)（lea 先行），重建为 mov /usr/bin/zshx7000,%ebx; mov %ebx,0x8(%esp)。register size_t 变量在 4.4.6 下必落 ebx（push ebx 仍存在，va_list 也用 ebx），源码注释已记录为不可复现的寄存器分配伪影。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,45 +1,45 @@
 push   %ebp
 mov    %esp,%ebp
 push   %ebx
 sub    $0x7024,%esp
+mov    $0x7000,%ebx
+mov    %ebx,0x8(%esp)
+movl   $0x0,0x4(%esp)
 lea    -0x700c(%ebp),%eax",2026-08-11
_ZN12CToolFileLogclEPKciS1_z,"CToolFileLog::operator()(char const*, int, char const*, ...)",codegen_diff,同 CMyFileLog::operator()：memset 0x7000 实参装载 %edx vs %ebx 寄存器分配伪影（两处），语义与指令条数一致。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,82 +1,82 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %ebx
 sub    $0xe120,%esp
+mov    $0x7000,%ebx
+mov    %ebx,0x8(%esp)
+movl   $0x0,0x4(%esp)",2026-08-11
_ZN13CMyRawFileLogclEPKcS1_z,"CMyRawFileLog::operator()(char const*, char const*, ...)",codegen_diff,"memset 0x7000 实参：ORIG mov /usr/bin/zshx7000,%edx; mov %edx,0x8(%esp)；重建直接 movl /usr/bin/zshx7000,0x8(%esp)（常量折叠）。字面量折叠差异，指令语义一致。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,27 +1,26 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x7028,%esp
+movl   $0x7000,0x8(%esp)
+movl   $0x0,0x4(%esp)
 lea    -0x700c(%ebp),%eax
-mov    $0x7000,%edx
-mov    %edx,0x8(%esp)",2026-08-11
_ZN11CArchiveLog8WriteLogEPKc,CArchiveLog::WriteLog(char const*),codegen_diff,"if (&this->time != &now) 与 memcpy 参数：ORIG 把 &this->time（add /usr/bin/zshx4,%eax）保持在 eax 中跨比较复用为 memcpy 首参；重建用 lea 0x4(%eax),%edx 计算并在 memcpy 处重算。寄存器复用/装载形态差异，指令语义一致。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,84 +1,86 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
 sub    $0x30,%esp
 mov    0x8(%ebp),%eax
 mov    (%eax),%eax
 test   %eax,%eax",2026-08-11
