symbol,demangled,category,reason,diff_excerpt,date
_Z7sformatPKcz,"sformat(char const*, ...)",codegen_diff,仅剩栈槽偏移差异：ORIG 的临时 StackBuffer_char 在 -0x28(%ebp)、另一局部在 -0x30，OURS 互换（-0x30/-0x28），全部 20 处差异均为这两个槽位的 lea 偏移互换；语义/指令序列/调用完全一致，GCC 4.4.6 与 4.4.7 在 -O0 的栈分配顺序不同所致,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,117 +1,117 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x23c,%esp
 mov    0x8(%ebp),%ebx
 lea    0x10(%ebp),%eax",2026-08-11
_Z7wformatPKwz,"wformat(wchar_t const*, ...)",codegen_diff,同 sformat：仅栈槽偏移互换（-0x28/-0x30），纯编译器版本 -O0 栈布局差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,120 +1,120 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x83c,%esp
 mov    0x8(%ebp),%ebx
 lea    0x10(%ebp),%eax",2026-08-11
_ZN18STGuildBoardDBInfoC1Ev,STGuildBoardDBInfo::STGuildBoardDBInfo(),codegen_diff,"ORIG 用位移寻址 movl $0x0,0x78/0x7c/0x80(%eax)，OURS 用 add/sub + (%%eax)（GCC 4.4.6 折叠常量偏移、4.4.7 在原始字节布局结构体上不折叠）；子对象构造与 memset 参数均已一致","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,20 +1,23 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 add    $0x84,%eax
 mov    %eax,(%esp)
 call   <T> <_ZN23STGuildMemberCharacDataC1Ev>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN18STGuildBoardDBInfoC2Ev,STGuildBoardDBInfo::STGuildBoardDBInfo(),codegen_diff,同 C1：三个 int 字段的位移寻址 vs add+store，编译器版本差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,20 +1,23 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 add    $0x84,%eax
 mov    %eax,(%esp)
 call   <T> <_ZN23STGuildMemberCharacDataC1Ev>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN23STGuildMemberCharacDataC1Ev,STGuildMemberCharacData::STGuildMemberCharacData(),codegen_diff,"ORIG movb $0xff,0x1(%eax)/movb $0x0,0x2(%eax) 直接位移寻址，OURS add $0x1/%eax + movb (%%eax)；语义与常量完全一致，-O0 寻址形式差异","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,17 +1,19 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 movb   $0xff,(%eax)
 mov    0x8(%ebp),%eax
-movb   $0xff,0x1(%eax)
+add    $0x1,%eax",2026-08-11
_ZN23STGuildMemberCharacDataC2Ev,STGuildMemberCharacData::STGuildMemberCharacData(),codegen_diff,同 C1：movb 位移寻址 vs add+store，编译器版本差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,17 +1,19 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0x8(%ebp),%eax
 movb   $0xff,(%eax)
 mov    0x8(%ebp),%eax
-movb   $0xff,0x1(%eax)
+add    $0x1,%eax",2026-08-11
_ZN14CPacketDecoderC1Ev,CPacketDecoder::CPacketDecoder(),codegen_diff,"handler 表 120 项已按 ORIG 写入顺序重排对齐，唯一差异：0x1038 项 OnRequestIPCounterList 因 char 返回类型需 cast 为 void(*)，GCC 4.4.7 用 mov $addr,%edx + mov %edx,0x40fc(%eax) 存储，ORIG 4.4.6 折叠为 movl $addr,0x40fc(%eax)；同一函数地址，纯编译器版本差异","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,270 +1,271 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x10,%esp
 mov    0x8(%ebp),%eax
 movl   $0x0,(%eax)
 mov    0x8(%ebp),%eax
 movl   $0x0,0x4(%eax)
 mov    0x8(%ebp),%eax",2026-08-11
_ZN14CPacketDecoderC2Ev,CPacketDecoder::CPacketDecoder(),codegen_diff,同 C1：仅 OnRequestIPCounterList 表项的立即数 vs 寄存器存储形式差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,270 +1,271 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x10,%esp
 mov    0x8(%ebp),%eax
 movl   $0x0,(%eax)
 mov    0x8(%ebp),%eax
 movl   $0x0,0x4(%eax)
 mov    0x8(%ebp),%eax",2026-08-11
_Z21CPacketTracerInstancev,CPacketTracerInstance(),caliber_issue,__cxa_atexit 第三参数 &__dso_handle 的地址与内容随链接布局不同，被解析为 data# 哈希且哈希不同；其余指令（guard/构造/atexit/返回）完全一致，函数语义相同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ21CPacketTracerInstancevE8instance,%eax
 movzbl (%eax),%eax",2026-08-11
_Z21CQueryCounterInstancev,CQueryCounterInstance(),caliber_issue,同 CPacketTracerInstance：__cxa_atexit 的 &__dso_handle 参数，链接布局产物导致 data# 哈希不同；其余一致,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ21CQueryCounterInstancevE8instance,%eax
 movzbl (%eax),%eax",2026-08-11
