source_excerpt	result	date
`a.m_arrA[8 + i]` 操作数换向（原 i+8）	NEAR(同)	2026-08-12
编译器 A/B：c5/c6444r/c6446r/c6 均 NEAR（装载顺序 i 先/pkt 后，OURS 为 pkt 先/i 后）	NEAR(同)	2026-08-12
隔离测试：无 per-use 强转的 `p->m_b[i]` 形态为 index-first，但 packet 头无类型化字段，无法免强转	NEAR(同)	2026-08-12
同 AddValueStatistics 根因：((EmblemCreateWire*)pkt) 强转=base-first(pkt先)，ORIG index-first(i先)；类型化直访才可翻转，需共享 packet 头加真实成员（待主 agent 决策）	NEAR(同)	2026-08-12
pkt->m_arrA[i] 真实成员直访（弃 m_arrA[i+8] 越界形态）：GCC 分解 0x22=2+8*4 为 add $8 + disp 0x2，真实成员=index-first 装载顺序，与 ORIG 逐条一致	IDENTICAL(FIXED)	2026-08-12
((int*)((char*)pkt+2))[i+8] 强转数组	DIFF(更差,shl/add 非折叠)	2026-08-12
((EmblemWire*)pkt)->m_arrA[i+8] 本地 packed wire 视图(数组+2)	NEAR(仅装载顺序差,寻址形态全对)	2026-08-12
*(int*)((char*)pkt+(i+8)*4+2) 显式算术	DIFF(更差,add %edx,%edx 链)	2026-08-12
(i+8)*4+((char*)pkt+2) 索引项左置	DIFF(更差,非折叠)	2026-08-12
4 编译器×EmblemWire 形态均 base-first(仅 4.1.2-52 寄存器角色反转也非 ORIG)	NEAR(同)	2026-08-12
