symbol,demangled,category,reason,diff_excerpt,date
_ZN17CPacketTranslater10OnMoneyLogEP12PacketHeader,CPacketTranslater::OnMoneyLog(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,144 +1,144 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater11OnStatisticEP12PacketHeader,CPacketTranslater::OnStatistic(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,134 +1,134 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x3c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater14OnP2PStatisticEP12PacketHeader,CPacketTranslater::OnP2PStatistic(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,140 +1,140 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater15OnCubeStatisticEP12PacketHeader,CPacketTranslater::OnCubeStatistic(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,142 +1,142 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater15OnFileStatisticEP12PacketHeader,CPacketTranslater::OnFileStatistic(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,127 +1,127 @@
 push   %ebp
 mov    %esp,%ebp
 push   %esi
 push   %ebx
-sub    $0x30,%esp
+sub    $0x40,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,-0x10(%ebp)",2026-08-11
_ZN17CPacketTranslater16OnStatisticGmCmdEP12PacketHeader,CPacketTranslater::OnStatisticGmCmd(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,133 +1,133 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x3c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater16OnValueStatisticEP12PacketHeader,CPacketTranslater::OnValueStatistic(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,140 +1,140 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater17OnServerMatchDataEP12PacketHeader,CPacketTranslater::OnServerMatchData(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,140 +1,140 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater18OnLagStatisticsAddEP12PacketHeader,CPacketTranslater::OnLagStatisticsAdd(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,140 +1,140 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
_ZN17CPacketTranslater18OnPvpPingStatisticEP12PacketHeader,CPacketTranslater::OnPvpPingStatistic(PacketHeader*),codegen_diff,源码字符串与行号常量与ORIG完全一致，差异仅为GCC -O0栈槽布局（本地变量栈偏移不同）与少量寄存器分配差异（如lea -0x35(%ebp) vs -0x25(%ebp)），属编译器代码生成差异，非源码语义差异,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,140 +1,140 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x4c,%esp
 mov    &_ZN17CPacketTranslater8m_pclAppE,%eax
 test   %eax,%eax",2026-08-11
