symbol,demangled,category,reason,diff_excerpt,date
_ZN17ChannelServiceApp14ChannelService17registerProtocolsEv,ChannelServiceApp::ChannelService::registerProtocols(),caliber_issue,"ORIG 侧 m_pfnMsg[9] 的函数指针立即数 0x80505ce（即 onCS_GET_SCRIPT 地址）被 addr_map 误解析为字符串 ""U됧VS곸걋\""""（按 CP949 读 .text 指令字节）；OURS 侧正确解析为 &onCS_GET_SCRIPT。两侧实际值均为 onCS_GET_SCRIPT 函数地址，语义完全相同，属解析器/口径问题，非源码差异。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,92 +1,92 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x10,%esp
 movl   $0x0,-0x4(%ebp)
 jmp    <T> <_ZN17ChannelServiceApp14ChannelService17registerProtocolsEv+0x36>
 mov    -0x4(%ebp),%eax
 mov    0x8(%ebp),%edx
 lea    0x3a04f8(%eax),%ecx",2026-08-11
_ZN12LinuxServiceC1Ev,LinuxService::LinuxService(),codegen_diff,"与 ORIG 唯一差异是入口栈预留大小 sub $0x18,%esp vs sub $0x4,%esp（其余 16 条指令逐条相同）。ORIG 编译器（4.4.6-3）对此类简单 ctor 预留 0x18 的 outgoing-args 区，我们的 4.4.7 驱动+cc1plus_446 只预留 0x4。语义完全一致；用户已取消栈大小豁免，故按编译差异记录；无法从源码修复（需人工填充 padding 才能对齐帧大小）。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,18 +1,18 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 add    $0x4,%eax
 mov    %eax,(%esp)
 call   <T> <_ZN11ServiceInfoC1Ev>",2026-08-11
_ZN12LinuxServiceC2Ev,LinuxService::LinuxService(),codegen_diff,"同 C1：唯一差异是 sub $0x18,%esp vs sub $0x4,%esp（C1/C2 符号映射到同一 ORIG 地址）。编译器版本对简单 ctor 的 outgoing-args 预留差异；语义一致；非源码可修复。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,18 +1,18 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 add    $0x4,%eax
 mov    %eax,(%esp)
 call   <T> <_ZN11ServiceInfoC1Ev>",2026-08-11
_ZN17ChannelServiceApp7UDPUserC1Ev,ChannelServiceApp::UDPUser::UDPUser(),codegen_diff,"唯一差异是入口栈预留 sub $0x18,%esp vs sub $0x4,%esp（其余指令相同）。ORIG 4.4.6-3 编译器对空 ctor（仅调用基类 ctor）预留 0x18，我们工具链预留 0x4；语义一致；非源码可修复（需人工 padding）。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,8 +1,8 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN17ChannelServiceApp13UDPUserStatesC1Ev>
 leave",2026-08-11
_ZN17ChannelServiceApp7UDPUserC2Ev,ChannelServiceApp::UDPUser::UDPUser(),codegen_diff,同 C1：sub $0x18 vs sub $0x4 栈预留差异，其余相同；编译器版本 codegen 差异。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,8 +1,8 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN17ChannelServiceApp13UDPUserStatesC1Ev>
 leave",2026-08-11
_ZN23TextOutputDevice_stdoutC1Ev,TextOutputDevice_stdout::TextOutputDevice_stdout(),codegen_diff,"唯一差异：sub $0x18,%esp vs sub $0x4,%esp（其余 8 条指令相同）。空 ctor 调用基类 ctor 的 outgoing-args 预留差异，编译器版本导致；语义一致。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,10 +1,10 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN17ITextOutputDeviceC1Ev>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN23TextOutputDevice_stdoutC2Ev,TextOutputDevice_stdout::TextOutputDevice_stdout(),codegen_diff,同 C1：sub $0x18 vs sub $0x4 栈预留差异；编译器版本 codegen 差异。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,10 +1,10 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN17ITextOutputDeviceC1Ev>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN8TMsgCellILi128EEC1Ev,TMsgCell<128>::TMsgCell(),codegen_diff,"唯一差异：sub $0x18,%esp vs sub $0x4,%esp（其余 14 条指令逐条相同）。ORIG 编译器对调用基类 ctor 的 ctor 预留 0x18，我们工具链预留 0x4；语义一致；非源码可修复。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,16 +1,16 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN8CMsgCellC1Ev>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN8TMsgCellILi128EEC2Ev,TMsgCell<128>::TMsgCell(),codegen_diff,同 C1：sub $0x18 vs sub $0x4 栈预留差异；编译器版本 codegen 差异。,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,16 +1,16 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x4,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,(%esp)
 call   <T> <_ZN8CMsgCellC1Ev>
 mov    0x8(%ebp),%eax",2026-08-11
_ZN17ChannelServiceApp7TCPUser8setACCIDEj,ChannelServiceApp::TCPUser::setACCID(unsigned int),codegen_diff,"整函数仅 4 条指令，唯一差异是指令顺序：ORIG 先 mov 0x8(%%ebp),%%eax（this）再 mov 0xc(%%ebp),%%edx（参数）；OURS 先加载参数再加载 this。这是 -O0 下编译器对同一赋值语句 nAccID_=nAccID 的寄存器加载顺序差异（GCC 4.4.6-3 vs 4.4.7 驱动），语义完全一致；无法从源码控制。","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,7 +1,7 @@
 push   %ebp
 mov    %esp,%ebp
+mov    0xc(%ebp),%edx
 mov    0x8(%ebp),%eax
-mov    0xc(%ebp),%edx
 mov    %edx,0x38(%eax)
 pop    %ebp
 ret",2026-08-11
